service_date,date,bus,rail_boardings,total_rides
07/01/2001,2001-07-01,435317,271052,706369
07/02/2001,2001-07-02,958879,627767,1586646
07/03/2001,2001-07-03,990209,827670,1817879
07/04/2001,2001-07-04,461383,306172,767555
07/05/2001,2001-07-05,918500,606574,1525074
07/06/2001,2001-07-06,958011,643965,1601976
07/07/2001,2001-07-07,599172,347374,946546
07/08/2001,2001-07-08,439513,256208,695721
07/09/2001,2001-07-09,935542,597633,1533175
07/10/2001,2001-07-10,937066,610069,1547135
07/11/2001,2001-07-11,960775,614294,1575069
07/12/2001,2001-07-12,949551,636236,1585787
07/13/2001,2001-07-13,957097,641244,1598341
07/14/2001,2001-07-14,629660,333365,963025
07/15/2001,2001-07-15,420137,241827,661964
07/16/2001,2001-07-16,880246,623660,1503906
07/17/2001,2001-07-17,920250,625940,1546190
07/18/2001,2001-07-18,935427,612765,1548192
07/19/2001,2001-07-19,949691,618451,1568142
07/20/2001,2001-07-20,937942,610617,1548559
07/21/2001,2001-07-21,593545,305457,899002
07/22/2001,2001-07-22,379766,200473,580239
07/23/2001,2001-07-23,854318,574685,1429003
07/24/2001,2001-07-24,939133,630753,1569886
07/25/2001,2001-07-25,874776,612547,1487323
07/26/2001,2001-07-26,954848,636674,1591522
07/27/2001,2001-07-27,933625,634484,1568109
07/28/2001,2001-07-28,607195,357848,965043
07/29/2001,2001-07-29,432534,236416,668950
07/30/2001,2001-07-30,908372,586076,1494448
07/31/2001,2001-07-31,884617,596502,1481119
08/01/2001,2001-08-01,873553,612734,1486287
08/02/2001,2001-08-02,790639,549367,1340006
08/03/2001,2001-08-03,984483,603405,1587888
08/04/2001,2001-08-04,648406,319386,967792
08/05/2001,2001-08-05,453344,225172,678516
08/06/2001,2001-08-06,907499,585919,1493418
08/07/2001,2001-08-07,875431,610601,1486032
08/08/2001,2001-08-08,854367,596163,1450530
08/09/2001,2001-08-09,846305,602242,1448547
08/10/2001,2001-08-10,946431,626136,1572567
08/11/2001,2001-08-11,607614,323141,930755
08/12/2001,2001-08-12,420182,234020,654202
08/13/2001,2001-08-13,892382,571719,1464101
08/14/2001,2001-08-14,866757,598019,1464776
08/15/2001,2001-08-15,878793,584203,1462996
08/16/2001,2001-08-16,800887,581402,1382289
08/17/2001,2001-08-17,929083,598538,1527621
08/18/2001,2001-08-18,569201,296970,866171
08/19/2001,2001-08-19,439920,235842,675762
08/20/2001,2001-08-20,876831,606101,1482932
08/21/2001,2001-08-21,894995,608242,1503237
08/22/2001,2001-08-22,864392,599157,1463549
08/23/2001,2001-08-23,906026,612615,1518641
08/24/2001,2001-08-24,926014,619276,1545290
08/25/2001,2001-08-25,518211,290626,808837
08/26/2001,2001-08-26,439715,245014,684729
08/27/2001,2001-08-27,900370,590849,1491219
08/28/2001,2001-08-28,933626,628532,1562158
08/29/2001,2001-08-29,901782,625324,1527106
08/30/2001,2001-08-30,913200,617044,1530244
08/31/2001,2001-08-31,986749,616977,1603726
09/01/2001,2001-09-01,639977,319699,959676
09/02/2001,2001-09-02,470771,243520,714291
09/03/2001,2001-09-03,448248,213584,661832
09/04/2001,2001-09-04,1120482,625640,1746122
09/05/2001,2001-09-05,1047878,644950,1692828
09/06/2001,2001-09-06,1053246,644766,1698012
09/07/2001,2001-09-07,1070339,659824,1730163
09/08/2001,2001-09-08,645427,341332,986759
09/09/2001,2001-09-09,492026,215773,707799
